,Model,Window,Derivative,Preprocessing,variable,Accuracy
439,CART,9,0,rnv,split1_test_score,0.5875
447,CART,11,0,rnv,split1_test_score,0.475
455,CART,21,0,rnv,split1_test_score,0.5625
463,CART,9,1,rnv,split1_test_score,0.575
407,CART,21,1,snv,split1_test_score,0.4625
959,CART,21,0,snv,split3_test_score,0.65
639,CART,11,2,raw,split2_test_score,0.6
655,CART,9,0,snv,split2_test_score,0.575
823,CART,9,1,msc,split2_test_score,0.6
831,CART,11,1,msc,split2_test_score,0.5625
839,CART,21,1,msc,split2_test_score,0.475
847,CART,9,2,msc,split2_test_score,0.625
855,CART,11,2,msc,split2_test_score,0.6
863,CART,21,2,msc,split2_test_score,0.525
871,CART,9,0,raw,split3_test_score,0.525
815,CART,21,0,msc,split2_test_score,0.4875
879,CART,11,0,raw,split3_test_score,0.5375
895,CART,9,1,raw,split3_test_score,0.55
903,CART,11,1,raw,split3_test_score,0.575
911,CART,21,1,raw,split3_test_score,0.5125
919,CART,9,2,raw,split3_test_score,0.55
927,CART,11,2,raw,split3_test_score,0.55
935,CART,21,2,raw,split3_test_score,0.5125
943,CART,9,0,snv,split3_test_score,0.575
887,CART,21,0,raw,split3_test_score,0.6
647,CART,21,2,raw,split2_test_score,0.55
807,CART,11,0,msc,split2_test_score,0.5
791,CART,21,2,rnv,split2_test_score,0.625
663,CART,11,0,snv,split2_test_score,0.6125
671,CART,21,0,snv,split2_test_score,0.525
679,CART,9,1,snv,split2_test_score,0.5875
687,CART,11,1,snv,split2_test_score,0.65
695,CART,21,1,snv,split2_test_score,0.5375
703,CART,9,2,snv,split2_test_score,0.6
711,CART,11,2,snv,split2_test_score,0.5875
799,CART,9,0,msc,split2_test_score,0.4875
719,CART,21,2,snv,split2_test_score,0.5375
735,CART,11,0,rnv,split2_test_score,0.45
743,CART,21,0,rnv,split2_test_score,0.4625
751,CART,9,1,rnv,split2_test_score,0.6125
759,CART,11,1,rnv,split2_test_score,0.6625
767,CART,21,1,rnv,split2_test_score,0.625
775,CART,9,2,rnv,split2_test_score,0.6125
783,CART,11,2,rnv,split2_test_score,0.6625
727,CART,9,0,rnv,split2_test_score,0.5125
335,CART,21,1,raw,split1_test_score,0.575
1607,CART,21,0,rnv,split5_test_score,0.5625
1623,CART,11,1,rnv,split5_test_score,0.675
2431,CART,9,2,snv,split8_test_score,0.6375
2439,CART,11,2,snv,split8_test_score,0.65
2447,CART,21,2,snv,split8_test_score,0.5625
2455,CART,9,0,rnv,split8_test_score,0.5125
2463,CART,11,0,rnv,split8_test_score,0.5125
2471,CART,21,0,rnv,split8_test_score,0.5625
2479,CART,9,1,rnv,split8_test_score,0.625
2423,CART,21,1,snv,split8_test_score,0.55
2487,CART,11,1,rnv,split8_test_score,0.625
2503,CART,9,2,rnv,split8_test_score,0.625
2511,CART,11,2,rnv,split8_test_score,0.625
2519,CART,21,2,rnv,split8_test_score,0.525
2527,CART,9,0,msc,split8_test_score,0.5
2535,CART,11,0,msc,split8_test_score,0.5375
2543,CART,21,0,msc,split8_test_score,0.525
2551,CART,9,1,msc,split8_test_score,0.6125
2495,CART,21,1,rnv,split8_test_score,0.525
2559,CART,11,1,msc,split8_test_score,0.4875
2415,CART,11,1,snv,split8_test_score,0.65
2399,CART,21,0,snv,split8_test_score,0.475
2271,CART,11,1,msc,split7_test_score,0.55
2279,CART,21,1,msc,split7_test_score,0.6375
2287,CART,9,2,msc,split7_test_score,0.6625
2295,CART,11,2,msc,split7_test_score,0.6875
2303,CART,21,2,msc,split7_test_score,0.625
2311,CART,9,0,raw,split8_test_score,0.6
2319,CART,11,0,raw,split8_test_score,0.525
2407,CART,9,1,snv,split8_test_score,0.6875
2327,CART,21,0,raw,split8_test_score,0.5375
2343,CART,11,1,raw,split8_test_score,0.6
2351,CART,21,1,raw,split8_test_score,0.7
2359,CART,9,2,raw,split8_test_score,0.65
2367,CART,11,2,raw,split8_test_score,0.65
2375,CART,21,2,raw,split8_test_score,0.6125
2383,CART,9,0,snv,split8_test_score,0.5125
2391,CART,11,0,snv,split8_test_score,0.525
2335,CART,9,1,raw,split8_test_score,0.575
2263,CART,9,1,msc,split7_test_score,0.65
2567,CART,21,1,msc,split8_test_score,0.5
2583,CART,11,2,msc,split8_test_score,0.6
2751,CART,11,0,rnv,split9_test_score,0.575
2759,CART,21,0,rnv,split9_test_score,0.5125
2767,CART,9,1,rnv,split9_test_score,0.55
2775,CART,11,1,rnv,split9_test_score,0.65
2783,CART,21,1,rnv,split9_test_score,0.6
2791,CART,9,2,rnv,split9_test_score,0.55
2799,CART,11,2,rnv,split9_test_score,0.65
2743,CART,9,0,rnv,split9_test_score,0.4625
2807,CART,21,2,rnv,split9_test_score,0.6
2823,CART,11,0,msc,split9_test_score,0.5625
2831,CART,21,0,msc,split9_test_score,0.5625
2839,CART,9,1,msc,split9_test_score,0.6
2847,CART,11,1,msc,split9_test_score,0.6375
2855,CART,21,1,msc,split9_test_score,0.6625
2863,CART,9,2,msc,split9_test_score,0.575
2871,CART,11,2,msc,split9_test_score,0.5625
2815,CART,9,0,msc,split9_test_score,0.55
2575,CART,9,2,msc,split8_test_score,0.6375
2735,CART,21,2,snv,split9_test_score,0.7
2719,CART,9,2,snv,split9_test_score,0.7125
2591,CART,21,2,msc,split8_test_score,0.5625
2599,CART,9,0,raw,split9_test_score,0.6
2607,CART,11,0,raw,split9_test_score,0.6125
2615,CART,21,0,raw,split9_test_score,0.55
2623,CART,9,1,raw,split9_test_score,0.5625
2631,CART,11,1,raw,split9_test_score,0.625
2639,CART,21,1,raw,split9_test_score,0.625
2727,CART,11,2,snv,split9_test_score,0.55
2647,CART,9,2,raw,split9_test_score,0.5875
2663,CART,21,2,raw,split9_test_score,0.5375
2671,CART,9,0,snv,split9_test_score,0.525
2679,CART,11,0,snv,split9_test_score,0.5375
2687,CART,21,0,snv,split9_test_score,0.525
2695,CART,9,1,snv,split9_test_score,0.65
2703,CART,11,1,snv,split9_test_score,0.65
2711,CART,21,1,snv,split9_test_score,0.6625
2655,CART,11,2,raw,split9_test_score,0.625
1615,CART,9,1,rnv,split5_test_score,0.7125
2255,CART,21,0,msc,split7_test_score,0.5625
2239,CART,9,0,msc,split7_test_score,0.5875
1791,CART,11,2,raw,split6_test_score,0.6375
1799,CART,21,2,raw,split6_test_score,0.65
1807,CART,9,0,snv,split6_test_score,0.55
1815,CART,11,0,snv,split6_test_score,0.5375
1823,CART,21,0,snv,split6_test_score,0.5625
1831,CART,9,1,snv,split6_test_score,0.525
1839,CART,11,1,snv,split6_test_score,0.625
1783,CART,9,2,raw,split6_test_score,0.6375
1847,CART,21,1,snv,split6_test_score,0.6375
1863,CART,11,2,snv,split6_test_score,0.5375
1871,CART,21,2,snv,split6_test_score,0.55
1879,CART,9,0,rnv,split6_test_score,0.475
1887,CART,11,0,rnv,split6_test_score,0.575
1895,CART,21,0,rnv,split6_test_score,0.575
1903,CART,9,1,rnv,split6_test_score,0.6875
1911,CART,11,1,rnv,split6_test_score,0.5875
1855,CART,9,2,snv,split6_test_score,0.6625
1919,CART,21,1,rnv,split6_test_score,0.5625
1775,CART,21,1,raw,split6_test_score,0.65
1759,CART,9,1,raw,split6_test_score,0.55
1631,CART,21,1,rnv,split5_test_score,0.6125
1639,CART,9,2,rnv,split5_test_score,0.7125
1647,CART,11,2,rnv,split5_test_score,0.675
1655,CART,21,2,rnv,split5_test_score,0.6125
1663,CART,9,0,msc,split5_test_score,0.5625
1671,CART,11,0,msc,split5_test_score,0.6125
1679,CART,21,0,msc,split5_test_score,0.5375
1767,CART,11,1,raw,split6_test_score,0.6125
1687,CART,9,1,msc,split5_test_score,0.575
1703,CART,21,1,msc,split5_test_score,0.5875
1711,CART,9,2,msc,split5_test_score,0.6875
1719,CART,11,2,msc,split5_test_score,0.6
1727,CART,21,2,msc,split5_test_score,0.625
1735,CART,9,0,raw,split6_test_score,0.6625
1743,CART,11,0,raw,split6_test_score,0.65
1751,CART,21,0,raw,split6_test_score,0.7
1695,CART,11,1,msc,split5_test_score,0.65
2247,CART,11,0,msc,split7_test_score,0.5625
1927,CART,9,2,rnv,split6_test_score,0.6875
1943,CART,21,2,rnv,split6_test_score,0.5625
2111,CART,21,0,snv,split7_test_score,0.475
2119,CART,9,1,snv,split7_test_score,0.7125
2127,CART,11,1,snv,split7_test_score,0.6125
2135,CART,21,1,snv,split7_test_score,0.6875
2143,CART,9,2,snv,split7_test_score,0.675
2151,CART,11,2,snv,split7_test_score,0.5375
2159,CART,21,2,snv,split7_test_score,0.5625
2103,CART,11,0,snv,split7_test_score,0.55
2167,CART,9,0,rnv,split7_test_score,0.5
2183,CART,21,0,rnv,split7_test_score,0.4625
2191,CART,9,1,rnv,split7_test_score,0.6625
2199,CART,11,1,rnv,split7_test_score,0.6375
2207,CART,21,1,rnv,split7_test_score,0.575
2215,CART,9,2,rnv,split7_test_score,0.6625
2223,CART,11,2,rnv,split7_test_score,0.6375
2231,CART,21,2,rnv,split7_test_score,0.575
2175,CART,11,0,rnv,split7_test_score,0.5375
1935,CART,11,2,rnv,split6_test_score,0.5875
2095,CART,9,0,snv,split7_test_score,0.4875
2079,CART,11,2,raw,split7_test_score,0.7125
1951,CART,9,0,msc,split6_test_score,0.5375
1959,CART,11,0,msc,split6_test_score,0.5
1967,CART,21,0,msc,split6_test_score,0.525
