,Model,Window,Derivative,Preprocessing,variable,Accuracy
2308,ET,9,0,raw,split8_test_score,0.6375
124,ET,9,2,snv,split0_test_score,0.5125
900,ET,11,1,raw,split3_test_score,0.6
1340,ET,21,1,rnv,split4_test_score,0.55
892,ET,9,1,raw,split3_test_score,0.5625
1884,ET,11,0,rnv,split6_test_score,0.4375
2324,ET,21,0,raw,split8_test_score,0.525
884,ET,21,0,raw,split3_test_score,0.6
2332,ET,9,1,raw,split8_test_score,0.5
2260,ET,9,1,msc,split7_test_score,0.5125
876,ET,11,0,raw,split3_test_score,0.5625
956,ET,21,0,snv,split3_test_score,0.525
1308,ET,11,0,rnv,split4_test_score,0.5875
1948,ET,9,0,msc,split6_test_score,0.5625
2188,ET,9,1,rnv,split7_test_score,0.5375
1028,ET,21,0,rnv,split3_test_score,0.6375
1276,ET,9,2,snv,split4_test_score,0.5875
2196,ET,11,1,rnv,split7_test_score,0.4875
1020,ET,11,0,rnv,split3_test_score,0.6
2204,ET,21,1,rnv,split7_test_score,0.625
1012,ET,9,0,rnv,split3_test_score,0.625
84,ET,11,0,snv,split0_test_score,0.475
1284,ET,11,2,snv,split4_test_score,0.5625
2212,ET,9,2,rnv,split7_test_score,0.5375
1004,ET,21,2,snv,split3_test_score,0.525
1940,ET,21,2,rnv,split6_test_score,0.6125
1932,ET,11,2,rnv,split6_test_score,0.5875
2220,ET,11,2,rnv,split7_test_score,0.4875
996,ET,11,2,snv,split3_test_score,0.5875
1292,ET,21,2,snv,split4_test_score,0.5125
2228,ET,21,2,rnv,split7_test_score,0.625
988,ET,9,2,snv,split3_test_score,0.6625
236,ET,21,0,msc,split0_test_score,0.5625
2236,ET,9,0,msc,split7_test_score,0.525
980,ET,21,1,snv,split3_test_score,0.5875
1300,ET,9,0,rnv,split4_test_score,0.5375
1924,ET,9,2,rnv,split6_test_score,0.6125
972,ET,11,1,snv,split3_test_score,0.5625
196,ET,9,2,rnv,split0_test_score,0.575
2244,ET,11,0,msc,split7_test_score,0.4125
1620,ET,11,1,rnv,split5_test_score,0.525
964,ET,9,1,snv,split3_test_score,0.5625
2252,ET,21,0,msc,split7_test_score,0.475
604,ET,9,1,raw,split2_test_score,0.5375
1196,ET,21,1,raw,split4_test_score,0.5875
1748,ET,21,0,raw,split6_test_score,0.5875
388,ET,9,1,snv,split1_test_score,0.55
2812,ET,9,0,msc,split9_test_score,0.4875
532,ET,9,1,msc,split1_test_score,0.525
1716,ET,11,2,msc,split5_test_score,0.575
1652,ET,21,2,rnv,split5_test_score,0.6125
1516,ET,9,0,snv,split5_test_score,0.4875
2676,ET,11,0,snv,split9_test_score,0.45
2804,ET,21,2,rnv,split9_test_score,0.5375
1580,ET,21,2,snv,split5_test_score,0.5875
396,ET,11,1,snv,split1_test_score,0.575
524,ET,21,0,msc,split1_test_score,0.4375
2684,ET,21,0,snv,split9_test_score,0.525
2796,ET,11,2,rnv,split9_test_score,0.5625
1708,ET,9,2,msc,split5_test_score,0.5625
404,ET,21,1,snv,split1_test_score,0.625
516,ET,11,0,msc,split1_test_score,0.5375
308,ET,21,0,raw,split1_test_score,0.55
292,ET,9,0,raw,split1_test_score,0.55
1660,ET,9,0,msc,split5_test_score,0.55
2668,ET,9,0,snv,split9_test_score,0.6
540,ET,11,1,msc,split1_test_score,0.6125
364,ET,9,0,snv,split1_test_score,0.4375
1500,ET,11,2,raw,split5_test_score,0.5375
556,ET,9,2,msc,split1_test_score,0.4875
2836,ET,9,1,msc,split9_test_score,0.5875
1636,ET,9,2,rnv,split5_test_score,0.525
172,ET,9,1,rnv,split0_test_score,0.575
2652,ET,11,2,raw,split9_test_score,0.6375
28,ET,9,1,raw,split0_test_score,0.5
2828,ET,21,0,msc,split9_test_score,0.4375
372,ET,11,0,snv,split1_test_score,0.5
548,ET,21,1,msc,split1_test_score,0.575
1724,ET,21,2,msc,split5_test_score,0.5625
2660,ET,21,2,raw,split9_test_score,0.525
1508,ET,21,2,raw,split5_test_score,0.5125
2820,ET,11,0,msc,split9_test_score,0.5125
1588,ET,9,0,rnv,split5_test_score,0.55
380,ET,21,0,snv,split1_test_score,0.55
1644,ET,11,2,rnv,split5_test_score,0.525
1524,ET,11,0,snv,split5_test_score,0.55
2692,ET,9,1,snv,split9_test_score,0.5625
1572,ET,11,2,snv,split5_test_score,0.5375
2764,ET,9,1,rnv,split9_test_score,0.5375
1692,ET,11,1,msc,split5_test_score,0.5375
2724,ET,11,2,snv,split9_test_score,0.625
1556,ET,21,1,snv,split5_test_score,0.55
444,ET,11,0,rnv,split1_test_score,0.5375
476,ET,21,1,rnv,split1_test_score,0.6875
1540,ET,9,1,snv,split5_test_score,0.4375
2756,ET,21,0,rnv,split9_test_score,0.525
1676,ET,21,0,msc,split5_test_score,0.55
300,ET,11,0,raw,split1_test_score,0.675
2732,ET,21,2,snv,split9_test_score,0.55
452,ET,21,0,rnv,split1_test_score,0.4875
468,ET,11,1,rnv,split1_test_score,0.575
1684,ET,9,1,msc,split5_test_score,0.5875
2748,ET,11,0,rnv,split9_test_score,0.6
2740,ET,9,0,rnv,split9_test_score,0.6
1548,ET,11,1,snv,split5_test_score,0.425
436,ET,9,0,rnv,split1_test_score,0.5375
484,ET,9,2,rnv,split1_test_score,0.625
20,ET,21,0,raw,split0_test_score,0.625
1668,ET,11,0,msc,split5_test_score,0.5125
412,ET,9,2,snv,split1_test_score,0.5875
508,ET,9,0,msc,split1_test_score,0.55
2788,ET,9,2,rnv,split9_test_score,0.5375
164,ET,21,0,rnv,split0_test_score,0.575
2700,ET,11,1,snv,split9_test_score,0.475
12,ET,11,0,raw,split0_test_score,0.5625
420,ET,11,2,snv,split1_test_score,0.6375
500,ET,21,2,rnv,split1_test_score,0.6875
2644,ET,9,2,raw,split9_test_score,0.55
1700,ET,21,1,msc,split5_test_score,0.5125
2708,ET,21,1,snv,split9_test_score,0.575
1564,ET,9,2,snv,split5_test_score,0.525
428,ET,21,2,snv,split1_test_score,0.6125
492,ET,11,2,rnv,split1_test_score,0.575
1532,ET,21,0,snv,split5_test_score,0.5625
148,ET,9,0,rnv,split0_test_score,0.45
2772,ET,11,1,rnv,split9_test_score,0.5625
2716,ET,9,2,snv,split9_test_score,0.5375
2780,ET,21,1,rnv,split9_test_score,0.5375
1596,ET,11,0,rnv,split5_test_score,0.575
460,ET,9,1,rnv,split1_test_score,0.625
2612,ET,21,0,raw,split9_test_score,0.4875
2876,ET,21,2,msc,split9_test_score,0.475
2636,ET,21,1,raw,split9_test_score,0.5
1612,ET,9,1,rnv,split5_test_score,0.525
580,ET,9,0,raw,split2_test_score,0.5875
324,ET,11,1,raw,split1_test_score,0.5875
4,ET,9,0,raw,split0_test_score,0.55
332,ET,21,1,raw,split1_test_score,0.45
156,ET,11,0,rnv,split0_test_score,0.5125
596,ET,21,0,raw,split2_test_score,0.5875
1492,ET,9,2,raw,split5_test_score,0.55
316,ET,9,1,raw,split1_test_score,0.7
348,ET,11,2,raw,split1_test_score,0.5125
1484,ET,21,1,raw,split5_test_score,0.625
1604,ET,21,0,rnv,split5_test_score,0.55
572,ET,21,2,msc,split1_test_score,0.525
2868,ET,11,2,msc,split9_test_score,0.5875
2628,ET,11,1,raw,split9_test_score,0.475
284,ET,21,2,msc,split0_test_score,0.5875
588,ET,11,0,raw,split2_test_score,0.55
2852,ET,21,1,msc,split9_test_score,0.4375
1732,ET,9,0,raw,split6_test_score,0.5875
2860,ET,9,2,msc,split9_test_score,0.5375
1740,ET,11,0,raw,split6_test_score,0.475
1628,ET,21,1,rnv,split5_test_score,0.6125
2604,ET,11,0,raw,split9_test_score,0.55
564,ET,11,2,msc,split1_test_score,0.575
2620,ET,9,1,raw,split9_test_score,0.5125
340,ET,9,2,raw,split1_test_score,0.55
2844,ET,11,1,msc,split9_test_score,0.45
356,ET,21,2,raw,split1_test_score,0.4875
2773,NB,11,1,rnv,split9_test_score,0.5
2053,NB,11,1,raw,split7_test_score,0.6125
989,NB,9,2,snv,split3_test_score,0.5375
2253,NB,21,0,msc,split7_test_score,0.55
1661,NB,9,0,msc,split5_test_score,0.5375
1309,NB,11,0,rnv,split4_test_score,0.6
1293,NB,21,2,snv,split4_test_score,0.4875
2013,NB,21,2,msc,split6_test_score,0.5375
1173,NB,21,0,raw,split4_test_score,0.575
1917,NB,21,1,rnv,split6_test_score,0.6375
957,NB,21,0,snv,split3_test_score,0.575
157,NB,11,0,rnv,split0_test_score,0.4875
429,NB,21,2,snv,split1_test_score,0.6875
965,NB,9,1,snv,split3_test_score,0.5125
317,NB,9,1,raw,split1_test_score,0.7125
981,NB,21,1,snv,split3_test_score,0.5375
421,NB,11,2,snv,split1_test_score,0.6875
2237,NB,9,0,msc,split7_test_score,0.55
2061,NB,21,1,raw,split7_test_score,0.6
2781,NB,21,1,rnv,split9_test_score,0.5125
1925,NB,9,2,rnv,split6_test_score,0.6625
1301,NB,9,0,rnv,split4_test_score,0.6
213,NB,21,2,rnv,split0_test_score,0.5375
237,NB,21,0,msc,split0_test_score,0.5125
1213,NB,11,2,raw,split4_test_score,0.6375
1565,NB,9,2,snv,split5_test_score,0.6875
2229,NB,21,2,rnv,split7_test_score,0.45
1165,NB,11,0,raw,split4_test_score,0.575
13,NB,11,0,raw,split0_test_score,0.5625
197,NB,9,2,rnv,split0_test_score,0.5375
2245,NB,11,0,msc,split7_test_score,0.55
333,NB,21,1,raw,split1_test_score,0.7
973,NB,11,1,snv,split3_test_score,0.525
1109,NB,9,1,msc,split3_test_score,0.525
1669,NB,11,0,msc,split5_test_score,0.5375
925,NB,11,2,raw,split3_test_score,0.575
2037,NB,21,0,raw,split7_test_score,0.6625
2293,NB,11,2,msc,split7_test_score,0.5
1677,NB,21,0,msc,split5_test_score,0.5375
1893,NB,21,0,rnv,split6_test_score,0.625
917,NB,9,2,raw,split3_test_score,0.6
2021,NB,9,0,raw,split7_test_score,0.6625
453,NB,21,0,rnv,split1_test_score,0.575
2877,NB,21,2,msc,split9_test_score,0.575
1325,NB,9,1,rnv,split4_test_score,0.575
2301,NB,21,2,msc,split7_test_score,0.5125
245,NB,9,1,msc,split0_test_score,0.5
1333,NB,11,1,rnv,split4_test_score,0.5625
909,NB,21,1,raw,split3_test_score,0.525
1189,NB,11,1,raw,split4_test_score,0.6
1197,NB,21,1,raw,split4_test_score,0.575
1549,NB,11,1,snv,split5_test_score,0.6625
2309,NB,9,0,raw,split8_test_score,0.575
2741,NB,9,0,rnv,split9_test_score,0.5375
2029,NB,11,0,raw,split7_test_score,0.6625
2749,NB,11,0,rnv,split9_test_score,0.5375
1621,NB,11,1,rnv,split5_test_score,0.675
2285,NB,9,2,msc,split7_test_score,0.4875
1181,NB,9,1,raw,split4_test_score,0.6125
2261,NB,9,1,msc,split7_test_score,0.5375
77,NB,9,0,snv,split0_test_score,0.5375
2765,NB,9,1,rnv,split9_test_score,0.5
949,NB,11,0,snv,split3_test_score,0.575
2221,NB,11,2,rnv,split7_test_score,0.4375
1205,NB,9,2,raw,split4_test_score,0.6625
437,NB,9,0,rnv,split1_test_score,0.575
2269,NB,11,1,msc,split7_test_score,0.55
2045,NB,9,1,raw,split7_test_score,0.625
165,NB,21,0,rnv,split0_test_score,0.4875
1317,NB,21,0,rnv,split4_test_score,0.6
1613,NB,9,1,rnv,split5_test_score,0.675
941,NB,9,0,snv,split3_test_score,0.575
1557,NB,21,1,snv,split5_test_score,0.675
1909,NB,11,1,rnv,split6_test_score,0.6625
2757,NB,21,0,rnv,split9_test_score,0.5375
2277,NB,21,1,msc,split7_test_score,0.5875
1901,NB,9,1,rnv,split6_test_score,0.6625
933,NB,21,2,raw,split3_test_score,0.4
325,NB,11,1,raw,split1_test_score,0.7
445,NB,11,0,rnv,split1_test_score,0.575
2869,NB,11,2,msc,split9_test_score,0.6125
1157,NB,9,0,raw,split4_test_score,0.575
1573,NB,11,2,snv,split5_test_score,0.675
413,NB,9,2,snv,split1_test_score,0.7
1973,NB,9,1,msc,split6_test_score,0.6125
373,NB,11,0,snv,split1_test_score,0.6125
2141,NB,9,2,snv,split7_test_score,0.5
1077,NB,21,2,rnv,split3_test_score,0.575
1589,NB,9,0,rnv,split5_test_score,0.625
2821,NB,11,0,msc,split9_test_score,0.5375
1253,NB,9,1,snv,split4_test_score,0.55
1125,NB,21,1,msc,split3_test_score,0.5375
2093,NB,9,0,snv,split7_test_score,0.5125
1229,NB,9,0,snv,split4_test_score,0.6
2149,NB,11,2,snv,split7_test_score,0.5125
1629,NB,21,1,rnv,split5_test_score,0.6625
1965,NB,21,0,msc,split6_test_score,0.625
349,NB,11,2,raw,split1_test_score,0.6875
381,NB,21,0,snv,split1_test_score,0.6125
2157,NB,21,2,snv,split7_test_score,0.5375
1061,NB,9,2,rnv,split3_test_score,0.5875
1645,NB,11,2,rnv,split5_test_score,0.675
1261,NB,11,1,snv,split4_test_score,0.5375
2813,NB,9,0,msc,split9_test_score,0.5375
1069,NB,11,2,rnv,split3_test_score,0.575
2165,NB,9,0,rnv,split7_test_score,0.525
93,NB,21,0,snv,split0_test_score,0.5375
1085,NB,9,0,msc,split3_test_score,0.5875
5,NB,9,0,raw,split0_test_score,0.5625
2109,NB,21,0,snv,split7_test_score,0.5125
1237,NB,11,0,snv,split4_test_score,0.6
2837,NB,9,1,msc,split9_test_score,0.575
221,NB,9,0,msc,split0_test_score,0.5125
2117,NB,9,1,snv,split7_test_score,0.55
1101,NB,21,0,msc,split3_test_score,0.5875
357,NB,21,2,raw,split1_test_score,0.6875
1981,NB,11,1,msc,split6_test_score,0.6125
205,NB,11,2,rnv,split0_test_score,0.55
365,NB,9,0,snv,split1_test_score,0.6125
1989,NB,21,1,msc,split6_test_score,0.6125
2101,NB,11,0,snv,split7_test_score,0.5125
2125,NB,11,1,snv,split7_test_score,0.5625
1093,NB,11,0,msc,split3_test_score,0.5875
1637,NB,9,2,rnv,split5_test_score,0.675
1245,NB,21,0,snv,split4_test_score,0.6
2829,NB,21,0,msc,split9_test_score,0.5375
2845,NB,11,1,msc,split9_test_score,0.5625
2133,NB,21,1,snv,split7_test_score,0.575
1117,NB,11,1,msc,split3_test_score,0.525
1053,NB,21,1,rnv,split3_test_score,0.575
1957,NB,11,0,msc,split6_test_score,0.625
1133,NB,9,2,msc,split3_test_score,0.5375
2005,NB,11,2,msc,split6_test_score,0.575
341,NB,9,2,raw,split1_test_score,0.725
2197,NB,11,1,rnv,split7_test_score,0.4375
85,NB,11,0,snv,split0_test_score,0.5375
117,NB,21,1,snv,split0_test_score,0.575
1941,NB,21,2,rnv,split6_test_score,0.6375
1149,NB,21,2,msc,split3_test_score,0.475
405,NB,21,1,snv,split1_test_score,0.6375
1013,NB,9,0,rnv,split3_test_score,0.625
1021,NB,11,0,rnv,split3_test_score,0.625
2205,NB,21,1,rnv,split7_test_score,0.45
1285,NB,11,2,snv,split4_test_score,0.5875
2069,NB,9,2,raw,split7_test_score,0.65
1597,NB,11,0,rnv,split5_test_score,0.625
1005,NB,21,2,snv,split3_test_score,0.5125
2789,NB,9,2,rnv,split9_test_score,0.5
109,NB,11,1,snv,split0_test_score,0.525
2213,NB,9,2,rnv,split7_test_score,0.4375
1933,NB,11,2,rnv,split6_test_score,0.6625
2861,NB,9,2,msc,split9_test_score,0.6
101,NB,9,1,snv,split0_test_score,0.525
2797,NB,11,2,rnv,split9_test_score,0.5
1277,NB,9,2,snv,split4_test_score,0.6
2189,NB,9,1,rnv,split7_test_score,0.4375
1997,NB,9,2,msc,split6_test_score,0.6125
389,NB,9,1,snv,split1_test_score,0.6875
2085,NB,21,2,raw,split7_test_score,0.5625
2173,NB,11,0,rnv,split7_test_score,0.525
901,NB,11,1,raw,split3_test_score,0.5375
1221,NB,21,2,raw,split4_test_score,0.575
1581,NB,21,2,snv,split5_test_score,0.65
1269,NB,21,1,snv,split4_test_score,0.525
2853,NB,21,1,msc,split9_test_score,0.5625
2805,NB,21,2,rnv,split9_test_score,0.5125
1141,NB,11,2,msc,split3_test_score,0.5125
229,NB,11,0,msc,split0_test_score,0.5125
1037,NB,9,1,rnv,split3_test_score,0.5875
2077,NB,11,2,raw,split7_test_score,0.625
1949,NB,9,0,msc,split6_test_score,0.625
2181,NB,21,0,rnv,split7_test_score,0.525
397,NB,11,1,snv,split1_test_score,0.6875
1029,NB,21,0,rnv,split3_test_score,0.625
309,NB,21,0,raw,split1_test_score,0.6625
1653,NB,21,2,rnv,split5_test_score,0.6625
1605,NB,21,0,rnv,split5_test_score,0.625
997,NB,11,2,snv,split3_test_score,0.5
1045,NB,11,1,rnv,split3_test_score,0.575
1885,NB,11,0,rnv,split6_test_score,0.625
749,NB,9,1,rnv,split2_test_score,0.575
733,NB,11,0,rnv,split2_test_score,0.5875
541,NB,11,1,msc,split1_test_score,0.675
2477,NB,9,1,rnv,split8_test_score,0.65
1509,NB,21,2,raw,split5_test_score,0.6
1421,NB,9,2,msc,split4_test_score,0.5625
2661,NB,21,2,raw,split9_test_score,0.55
725,NB,9,0,rnv,split2_test_score,0.5875
1805,NB,9,0,snv,split6_test_score,0.65
2485,NB,11,1,rnv,split8_test_score,0.65
181,NB,11,1,rnv,split0_test_score,0.55
269,NB,9,2,msc,split0_test_score,0.5125
1813,NB,11,0,snv,split6_test_score,0.65
717,NB,21,2,snv,split2_test_score,0.5375
549,NB,21,1,msc,split1_test_score,0.675
1429,NB,11,2,msc,split4_test_score,0.5125
1725,NB,21,2,msc,split5_test_score,0.675
709,NB,11,2,snv,split2_test_score,0.5875
2653,NB,11,2,raw,split9_test_score,0.55
2501,NB,9,2,rnv,split8_test_score,0.65
1501,NB,11,2,raw,split5_test_score,0.7
1797,NB,21,2,raw,split6_test_score,0.6125
701,NB,9,2,snv,split2_test_score,0.6125
557,NB,9,2,msc,split1_test_score,0.6875
2509,NB,11,2,rnv,split8_test_score,0.65
2493,NB,21,1,rnv,split8_test_score,0.6375
29,NB,9,1,raw,split0_test_score,0.5875
133,NB,11,2,snv,split0_test_score,0.525
741,NB,21,0,rnv,split2_test_score,0.5875
781,NB,11,2,rnv,split2_test_score,0.5625
517,NB,11,0,msc,split1_test_score,0.6125
1397,NB,9,1,msc,split4_test_score,0.5125
1829,NB,9,1,snv,split6_test_score,0.625
2685,NB,21,0,snv,split9_test_score,0.5375
2437,NB,11,2,snv,split8_test_score,0.5625
773,NB,9,2,rnv,split2_test_score,0.575
1709,NB,9,2,msc,split5_test_score,0.675
1517,NB,9,0,snv,split5_test_score,0.625
525,NB,21,0,msc,split1_test_score,0.6125
765,NB,21,1,rnv,split2_test_score,0.55
1413,NB,21,1,msc,split4_test_score,0.5
2677,NB,11,0,snv,split9_test_score,0.5375
293,NB,9,0,raw,split1_test_score,0.6625
1405,NB,11,1,msc,split4_test_score,0.5
2453,NB,9,0,rnv,split8_test_score,0.65
1821,NB,21,0,snv,split6_test_score,0.65
53,NB,9,2,raw,split0_test_score,0.525
533,NB,9,1,msc,split1_test_score,0.675
2461,NB,11,0,rnv,split8_test_score,0.65
1749,NB,21,0,raw,split6_test_score,0.65
2669,NB,9,0,snv,split9_test_score,0.5375
1717,NB,11,2,msc,split5_test_score,0.675
2469,NB,21,0,rnv,split8_test_score,0.65
2445,NB,21,2,snv,split8_test_score,0.525
2429,NB,9,2,snv,split8_test_score,0.625
693,NB,21,1,snv,split2_test_score,0.5125
2517,NB,21,2,rnv,split8_test_score,0.6375
2621,NB,9,1,raw,split9_test_score,0.55
2565,NB,21,1,msc,split8_test_score,0.5125
1765,NB,11,1,raw,split6_test_score,0.6875
637,NB,11,2,raw,split2_test_score,0.7375
1741,NB,11,0,raw,split6_test_score,0.65
589,NB,11,0,raw,split2_test_score,0.6875
2573,NB,9,2,msc,split8_test_score,0.575
1485,NB,21,1,raw,split5_test_score,0.6375
629,NB,9,2,raw,split2_test_score,0.75
285,NB,21,2,msc,split0_test_score,0.475
1469,NB,9,1,raw,split5_test_score,0.6875
645,NB,21,2,raw,split2_test_score,0.5875
2613,NB,21,0,raw,split9_test_score,0.5875
37,NB,11,1,raw,split0_test_score,0.5875
1757,NB,9,1,raw,split6_test_score,0.7
621,NB,21,1,raw,split2_test_score,0.6125
2589,NB,21,2,msc,split8_test_score,0.5125
597,NB,21,0,raw,split2_test_score,0.6875
613,NB,11,1,raw,split2_test_score,0.65
2605,NB,11,0,raw,split9_test_score,0.5875
2597,NB,9,0,raw,split9_test_score,0.5875
1477,NB,11,1,raw,split5_test_score,0.675
141,NB,21,2,snv,split0_test_score,0.5125
605,NB,9,1,raw,split2_test_score,0.6625
2581,NB,11,2,msc,split8_test_score,0.575
2645,NB,9,2,raw,split9_test_score,0.55
1461,NB,21,0,raw,split5_test_score,0.625
581,NB,9,0,raw,split2_test_score,0.6875
45,NB,21,1,raw,split0_test_score,0.575
1437,NB,21,2,msc,split4_test_score,0.4375
1789,NB,11,2,raw,split6_test_score,0.65
685,NB,11,1,snv,split2_test_score,0.55
2525,NB,9,0,msc,split8_test_score,0.65
565,NB,11,2,msc,split1_test_score,0.7125
677,NB,9,1,snv,split2_test_score,0.55
2637,NB,21,1,raw,split9_test_score,0.5375
2533,NB,11,0,msc,split8_test_score,0.65
1445,NB,9,0,raw,split5_test_score,0.625
1781,NB,9,2,raw,split6_test_score,0.675
2557,NB,11,1,msc,split8_test_score,0.55
1733,NB,9,0,raw,split6_test_score,0.65
173,NB,9,1,rnv,split0_test_score,0.5375
2541,NB,21,0,msc,split8_test_score,0.6625
573,NB,21,2,msc,split1_test_score,0.7
2629,NB,11,1,raw,split9_test_score,0.5625
661,NB,11,0,snv,split2_test_score,0.5875
1453,NB,11,0,raw,split5_test_score,0.625
1493,NB,9,2,raw,split5_test_score,0.7
2549,NB,9,1,msc,split8_test_score,0.5625
1773,NB,21,1,raw,split6_test_score,0.6625
277,NB,11,2,msc,split0_test_score,0.525
653,NB,9,0,snv,split2_test_score,0.5875
669,NB,21,0,snv,split2_test_score,0.5875
261,NB,21,1,msc,split0_test_score,0.4875
757,NB,11,1,rnv,split2_test_score,0.5625
2717,NB,9,2,snv,split9_test_score,0.6
1877,NB,9,0,rnv,split6_test_score,0.625
829,NB,11,1,msc,split2_test_score,0.5375
2709,NB,21,1,snv,split9_test_score,0.55
2341,NB,11,1,raw,split8_test_score,0.6
1541,NB,9,1,snv,split5_test_score,0.6625
1373,NB,9,0,msc,split4_test_score,0.625
2389,NB,11,0,snv,split8_test_score,0.6625
869,NB,9,0,raw,split3_test_score,0.575
61,NB,11,2,raw,split0_test_score,0.55
1349,NB,9,2,rnv,split4_test_score,0.575
853,NB,11,2,msc,split2_test_score,0.5375
149,NB,9,0,rnv,split0_test_score,0.4875
877,NB,11,0,raw,split3_test_score,0.575
2397,NB,21,0,snv,split8_test_score,0.6625
501,NB,21,2,rnv,split1_test_score,0.6375
813,NB,21,0,msc,split2_test_score,0.5625
821,NB,9,1,msc,split2_test_score,0.5375
1869,NB,21,2,snv,split6_test_score,0.5875
477,NB,21,1,rnv,split1_test_score,0.6375
2381,NB,9,0,snv,split8_test_score,0.6625
189,NB,21,1,rnv,split0_test_score,0.5375
2357,NB,9,2,raw,split8_test_score,0.7
1357,NB,11,2,rnv,split4_test_score,0.5625
485,NB,9,2,rnv,split1_test_score,0.6125
2365,NB,11,2,raw,split8_test_score,0.675
253,NB,11,1,msc,split0_test_score,0.5
861,NB,21,2,msc,split2_test_score,0.5125
845,NB,9,2,msc,split2_test_score,0.5625
2725,NB,11,2,snv,split9_test_score,0.5625
1365,NB,21,2,rnv,split4_test_score,0.5375
1861,NB,11,2,snv,split6_test_score,0.575
2373,NB,21,2,raw,split8_test_score,0.6
2349,NB,21,1,raw,split8_test_score,0.575
837,NB,21,1,msc,split2_test_score,0.5
1533,NB,21,0,snv,split5_test_score,0.6125
493,NB,11,2,rnv,split1_test_score,0.5875
21,NB,21,0,raw,split0_test_score,0.5625
2701,NB,11,1,snv,split9_test_score,0.6
2333,NB,9,1,raw,split8_test_score,0.6
1853,NB,9,2,snv,split6_test_score,0.6125
469,NB,11,1,rnv,split1_test_score,0.5875
2325,NB,21,0,raw,split8_test_score,0.575
2733,NB,21,2,snv,split9_test_score,0.5875
1845,NB,21,1,snv,split6_test_score,0.6125
1525,NB,11,0,snv,split5_test_score,0.625
1341,NB,21,1,rnv,split4_test_score,0.5375
2413,NB,11,1,snv,split8_test_score,0.575
797,NB,9,0,msc,split2_test_score,0.5625
509,NB,9,0,msc,split1_test_score,0.6125
2693,NB,9,1,snv,split9_test_score,0.6125
1389,NB,21,0,msc,split4_test_score,0.6375
1837,NB,11,1,snv,split6_test_score,0.625
893,NB,9,1,raw,split3_test_score,0.5375
2421,NB,21,1,snv,split8_test_score,0.55
789,NB,21,2,rnv,split2_test_score,0.55
301,NB,11,0,raw,split1_test_score,0.6625
2317,NB,11,0,raw,split8_test_score,0.575
461,NB,9,1,rnv,split1_test_score,0.6125
69,NB,21,2,raw,split0_test_score,0.525
1685,NB,9,1,msc,split5_test_score,0.6875
1693,NB,11,1,msc,split5_test_score,0.6875
805,NB,11,0,msc,split2_test_score,0.5625
125,NB,9,2,snv,split0_test_score,0.525
2405,NB,9,1,snv,split8_test_score,0.575
1701,NB,21,1,msc,split5_test_score,0.675
1381,NB,11,0,msc,split4_test_score,0.625
885,NB,21,0,raw,split3_test_score,0.575
2003,LDA,11,2,msc,split6_test_score,0.5875
1603,LDA,21,0,rnv,split5_test_score,0.675
1355,LDA,11,2,rnv,split4_test_score,0.6375
1451,LDA,11,0,raw,split5_test_score,0.5625
1331,LDA,11,1,rnv,split4_test_score,0.6375
1779,LDA,9,2,raw,split6_test_score,0.625
1547,LDA,11,1,snv,split5_test_score,0.5625
1211,LDA,11,2,raw,split4_test_score,0.5875
1763,LDA,11,1,raw,split6_test_score,0.6875
1995,LDA,9,2,msc,split6_test_score,0.5625
1227,LDA,9,0,snv,split4_test_score,0.6
1611,LDA,9,1,rnv,split5_test_score,0.5625
1539,LDA,9,1,snv,split5_test_score,0.5375
107,LDA,11,1,snv,split0_test_score,0.5875
1691,LDA,11,1,msc,split5_test_score,0.55
179,LDA,11,1,rnv,split0_test_score,0.525
1347,LDA,9,2,rnv,split4_test_score,0.675
2011,LDA,21,2,msc,split6_test_score,0.6125
1627,LDA,21,1,rnv,split5_test_score,0.575
123,LDA,9,2,snv,split0_test_score,0.575
1891,LDA,21,0,rnv,split6_test_score,0.5875
1555,LDA,21,1,snv,split5_test_score,0.55
1491,LDA,9,2,raw,split5_test_score,0.5875
1739,LDA,11,0,raw,split6_test_score,0.675
1459,LDA,21,0,raw,split5_test_score,0.625
139,LDA,21,2,snv,split0_test_score,0.6625
1675,LDA,21,0,msc,split5_test_score,0.5125
1483,LDA,21,1,raw,split5_test_score,0.575
1899,LDA,9,1,rnv,split6_test_score,0.6125
1771,LDA,21,1,raw,split6_test_score,0.675
1883,LDA,11,0,rnv,split6_test_score,0.625
1219,LDA,21,2,raw,split4_test_score,0.5875
1683,LDA,9,1,msc,split5_test_score,0.5125
1467,LDA,9,1,raw,split5_test_score,0.6125
1875,LDA,9,0,rnv,split6_test_score,0.65
1755,LDA,9,1,raw,split6_test_score,0.6875
1203,LDA,9,2,raw,split4_test_score,0.6
2019,LDA,9,0,raw,split7_test_score,0.5625
1475,LDA,11,1,raw,split5_test_score,0.65
1907,LDA,11,1,rnv,split6_test_score,0.6125
1747,LDA,21,0,raw,split6_test_score,0.6125
1323,LDA,9,1,rnv,split4_test_score,0.675
163,LDA,21,0,rnv,split0_test_score,0.6
1635,LDA,9,2,rnv,split5_test_score,0.5625
1955,LDA,11,0,msc,split6_test_score,0.5875
1515,LDA,9,0,snv,split5_test_score,0.575
1931,LDA,11,2,rnv,split6_test_score,0.6125
1379,LDA,11,0,msc,split4_test_score,0.5375
